0.00415	0.00415	0.00415	0.00415
0.00758	0.00758	0.00758	0.00758
0.01099	0.01099	0.01099	0.01099
0.01437	0.01437	0.01437	0.01437
0.01773	0.01773	0.01773	0.01773
0.02107	0.02107	0.02107	0.02107
0.02438	0.02438	0.02438	0.02438
0.02767	0.02767	0.02767	0.02767
0.03093	0.03093	0.03093	0.03093
0.03417	0.03417	0.03417	0.03417
0.03738	0.03738	0.03738	0.03738
0.04057	0.04057	0.04057	0.04057
0.04374	0.04374	0.04374	0.04374
0.04688	0.04688	0.04688	0.04688
0.05	0.05	0.05	0.05
0.0531	0.0531	0.0531	0.0531
0.05617	0.05617	0.05617	0.05617
0.05921	0.05921	0.05921	0.05921
0.06223	0.06223	0.06223	0.06223
0.06523	0.06523	0.06523	0.06523
0.06821	0.06821	0.06821	0.06821
0.07116	0.07116	0.07116	0.07116
0.07408	0.07408	0.07408	0.07408
0.07698	0.07698	0.07698	0.07698
0.07986	0.07986	0.07986	0.07986
0.08271	0.08271	0.08271	0.08271
0.08554	0.08554	0.08554	0.08554
0.08835	0.08835	0.08835	0.08835
